title,article,etc,time,current_time,like,comment,district
광화문 근처에서 루이비통 카드 지갑 주우신분!,루이비통 카드지갑 주우신 분 계실까요? 발견하시면 댓글 좀 달아주세요 😭😭😭 오래쓰기도 하고 카드도 많아서 헐렁해진 상태입니다 제발 발견하신분 계시다면 댓글 부탁드려요!,"종로1.2.3.4가동
·
분실/실종
·
약 14시간 전",약 14시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
과일채소가게는 왜 썩운물건 세일하나요?,세일코너는 원래 폐기해야하는 물건이나 폐기직전물건을 파는건가요? 완전곰팡이가 있는것 등 사람들이 못먹는 과일채소를 팔아도 되나요? 외국인들보기에 창피하기도하더라구요 저만 느끼는 생각인지 궁금합니다 참,"혜화동
·
일반
·
약 15시간 전",약 15시간 전,2024-11-28 00:35:39,"좋아요 수
2","댓글 수
4",종로구
혜화역근처 김밥맛집 아시는분!,혜화역근처 김밥맛집 아시는분!,"혜화동
·
맛집
·
약 15시간 전",약 15시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
3",종로구
대학로 근처에 병 잘고치고 친절한 가정의학과는 어디있을까요?,대학로 근처에 병 잘고치고 친절한 가정의학과는 어디있을까요? 그리고 치과 등등 다른과목병원들도 알고 싶습니다,"혜화동
·
병원/약국
·
약 15시간 전",약 15시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
첫눈이 습설이네요,눈 뭉치기 좋은 습설 입니다,"명륜2가
·
생활/편의
·
약 18시간 전",약 18시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
첫눈도 씨게오는데,"아무생각,걱정없이 동심찾아 눈싸움하실분 찾아요","명륜3가
·
맛집
·
약 21시간 전",약 21시간 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
귀여운 고양이,추워보이길래 박스하나 뒀어요. 닭가슴살도 삶아서 좀 줬더니 잘 먹네요. 어떤 분들이 살구라고 부르시던데 부르니까 바로 오네요. 눈도 오는데 추울까봐 걱정됩니다. 저희 집 건물에도 들어와요 가끔.,"숭인동
·
반려동물
·
약 22시간 전",약 22시간 전,2024-11-28 00:35:39,"좋아요 수
11","댓글 수
1",종로구
찬 비바람이 바람이 분다..,내는 모르오 추운줄~~~,"명륜2가
·
취미
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
안녕하세요 극단 연월입니다.🌙,"안녕하세요 🤗 건대에서 활동하는 취미 뮤지컬 극단입니다. 일반인, 직장인들이 모여 연습하고 친목도 다지고 있습니다. <지원자격> 📍새로운 취미를 찾는 사람 📍직장인, 대학생, 일반인 누구나 📍노래, 춤, 연기, 뮤지컬을 좋아하는 사람 📍공연을 도전해 보고 싶은 사람 궁금한 점이나 관심 있으시면 댓글 남겨주세요😄","연건동
·
취미
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
11/4 에어팟프로  스타벅스에서 습득. 이화사거리(대학로점),11/4일 스타벅스 내에서 에어팟 프로 습득 댓글 달아주세요 남의것 찾아주려고 하다가... 제 왼쪽 유닛 잃어버렸... ㅜㅜㅋ,"운니동
·
분실/실종
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
창신3동 근처 프린트 인쇄 되는곳 있을까요? ,제발요 있다고 해주세요,"창신제3동
·
생활/편의
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
3",종로구
금속관련 업종이나 공방 운영하시는 분 계신가요?,"주업은 IT개발회사 운영중인 남자 사람입니다. 취미로 식물을 많이 키우다보니 화분에 관심이 생기고, 세라믹보다는 금속화분을 만들고싶은데 금속에 대해서는 아는것도 없고 처음부터 할려니 막막하네요. 종로에서 금속하시고 공장이나 공방하시는 분계시면 비용지불드리고 배우고싶네요. 아직은 취미이긴하나 회사 추가사업으로도 생각중이라 가볍게 하진않습니다. 저도 IT쪽으로 얼마든지 도와드릴수 있고요. (디자인, 홈페이지, 홍보 컨설팅 등등) 세공도 좋고요. 더큰 금속가공?도 좋습니다.","서린동
·
취미
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
초보 취미 밴드 보컬 모집합니다 ! ,"안녕하세요! 저희는 만든지 1년정도된 초보 밴드 입니다. 매주 월요일 퇴근 후 합주를 하고 주 합주실은 이수역 부근에서 하고 있습니다. (일정 협의 가능) 2주마다 합주를 하는것이 저희 밴드의 목적이며, 현재 솔로기타, 리듬기타 , 베이스 , 드럼으로 남자 2, 여자 2로 이루어진 밴드입니다. (모두 30대 초반) 저희 밴드는 현재 보컬( 남,여 무관 ) 을 구하고 있으며 소소하게 즐거움을 느끼고 같이 발전해나갈 밴드원을 구합니다. -키보드 신규 멤버 협의 중 저희의 그동안 연주곡은 1.Radiohead - Creep 2.미도와 파라솔 - 이젠 잊기로해요 3.브로콜리너마저 - 이웃에 방해가 되지 않는 선에서 4.너드커넥션 - back in time 5.스탠딩에그 - 오래된노래 6.LUCY - 떼굴떼굴 7.검정치마-antifreeze 8.크라잉넛- 밤이깊었네 9.윤도현밴드 - 나는나비 10.브리즈-뭐라할까 11.자전거 탄 풍경 - 너에게난 나에게 넌 12.민수-민수는 혼란스럽다 등등 입니다. 저희는 곡을 선정할 때 각자의 취향이나 선호곡을 각자 정해오고 게임을 통해서 곡을 선정하거나 주로 이야기를 통해서 곡 선정을 하니 곡 선정이나 취향에 대한 부담은 갖지 말고 부담없이 연락주세요! +) 같이 해주실 분은 가장 자신 있는 곡 한곡 녹음해서 보내 주실 수 있으신 분이었으면 좋겠습니다! #취미 #보컬 #밴드","효제동
·
취미
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
이거 이름이 뭐에요?,이거 이름이 뭔지 아시는분!,"창신동
·
반려동물
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
혜화동 대학로에 허그 대출 가능한 은행있나요?,"청년허그전세대출로 혜화동으로 이사오려고 하는데, 발품을 다닌 은행들이 다 없다고해서요ㅠ혹시 청년허그전세대출로 대학로에 살고 계신 분들 계시면, 취급 은행 알려주시면 감사하겠습니다!","동숭동
·
주거/부동산
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
혜화역 인근 원숭이 인형 (키링) 분실,어려울걸 알지만 일말의 가능성을 가지고 올립니다..!! 11월 25일 밤 11시 10분경 제 원숭이 키링을 잃어버렸습니다. 제게 정말 소중한 사람에게 받은 선물입니다. 다시 만날 수 없는 사람이라 더더욱 의미가 깊은데....주우신 분이 계시다면 꼭 좀 연락 부탁드립니다! 잃어버린걸 인지하고(약 10분 내외) 왔던길로 되돌아가봤는데 없는걸보니 누군가 습득하셨으리라 예상됩니다. 분실경로는 멘토즈스터디카페 혜화역점 -> 혜화역 4번 출구 -> 혜화역 3번출구 -> 백억커피 혜화점 이 사이였습니다! 스터디카페에서 나올 때까지 있었습니다. 시간은 11시 10분정도 였습니다. 꼭 좀 부탁드립니다!!,"종로1.2.3.4가동
·
분실/실종
·
1일 전",1일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
1",종로구
기타 잘 아시는 분 계실까요?🥹🙏,집에서 기타 연습하려고 하는데 사진처럼 생겼으면 두번째 사진 부분에 헤드셋 꽂아서 사용가능한 건가요?ㅠㅠ 그리고 어떤 타입 헤드셋 필요한 건지 알 수 있을까요..,"이화동
·
취미
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
1",종로구
허쉬컷,허쉬컷 예쁘게 잘짜르곳 어디있을까용,"명륜3가
·
미용
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
광화문/서대문/마포 인근 가죽가방 수선,광화문/서대문/마포 인근에 가죽가방 수선 잘 하는 곳 있을까요? 가방 끈 길이 잘라내서 줄이고 싶은데 마땅한 곳이 없어서요 ㅠㅠ,"당주동
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
공덕역 고양이ㅠ,제가 오늘 공덕역 쪽에 삼성래미안 쪽에서 고양이를 봤는데요 혹시나 주인 있나해서 올려봐요 관리 잘 되어있어서ㅠㅠ 집에왔는데 자꾸 맘이 걸리네요 #공덕역 #효창공원 #효창공원앞역 #고양이,"통인동
·
반려동물
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
종로 이사짐 박스 10개 대여 가능한곳 있을까요?,종로 이사짐 박스 10개 대여 가능한곳 있을까요?,"청운효자동
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
신영동 고양이 병원,방광염 의심되는 12살 노묘인데 ㅠㅠ. 이사온지 얼마 안되어서요. 고양이 잘 봐주시는 병원 추천받습니다 ㅠㅠ 혈뇨를 봤네요…. 음수량이 부족한 ㅇㅐ가 아닌데 걱정되네요 🥲🥲 집사님들 집단지성 도와주세요,"신영동
·
병원/약국
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
4",종로구
대학로 근처 깨끗한 남녀목욕탕 어디?,대학로 근처 깨끗한 남녀목욕탕 어디있나요?,"혜화동
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
사업장 폐기물 처리 문의 드려요,"진열장 1개 폐기 하려고 하는데요 1200/600/1000 정도 되는것 1개 입니다. 사용상 문제 없어서 나눔 하려했으나 신청자가 없어 폐기 하려고 합니다. 가정용이 아니어서 구청 폐기물 수거는 불가능해서 사업장 폐기물 업체 소개 부탁 드립니다. 위치는 동묘 내 이고, 시간은 협의 가능합니다.","숭인동
·
이사/시공
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
5",종로구
버즈 케이스 분실🥺,사진 속 버즈 케이스 보신 분 연락 주세요!!!,"청운동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
수영장,수영도.하고💦♨️목욕탕 온탕.냉탕있는곳💢아시는분 알려 주실수 있나요.?,"숭인제2동
·
운동
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
2",종로구
종로,쪽인데 짬뽕 맛집없나요???,"종로1.2.3.4가동
·
맛집
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
4",종로구
세탁하다가,섬유유연제를 빠트렷는데 완전 건조된 상태에서 티슈형 섬유유연제 넣고 돌리면 냄새 많이 벨까요??,"명륜1가
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
벤츠 자동차 스마트 키 분실,벤츠 자동차 스마트 키 분실 수송동에서 잃어버렸습니다 본체에 커버 씌워져 있고 검정 가죽 손잡이 달려 있는데 습득 하신 분. 사례 할게요,"수송동
·
생활/편의
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
출장온 시골쥐 놀아주실분,"안녕하세요.! 서울 출장온 시골쥐 30남입니다. 오늘내일 1박2일출장인데, 저녁에 어디 구경시켜주시거나 같이 노실분!!","청운동
·
동네친구
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
5",종로구
연극(베르나르다 알바의집),연극ㅡ 베르나르다 알바의 집 12월 13일~ 15일,"명륜1가
·
취미
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
고양이 잃어버리신분,낙산공원에서 품종묘같은 고양이 봤습미다ㅜ 스코티쉬폴드 같은데 눈 한쪽이 없어요ㅠ 손내미니까 다가오는거 보면 사람이랑 같이 살았던 고양이 같습니다. 해당 고양이 찾는 글이 없어서 혹시나해서 글 올려봐요ㅠㅠ 날이 추워지는데 넘 걱정이네요ㅠ,"동숭동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
2",종로구
종로문화체육센터 배드민턴 레슨 받아보신붘~?,계실까요!?! 후기가 궁금한데!!,"종로6가
·
운동
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
에어팟2 왼쪽 유닛 분실 ㅠㅠ ,안국동 / 삼선교(한성대) / 272 109 버스 / 성북천 / 한성대 버스정류장 / 한성대 종로곱창과 그 부근 부모님께서 사주신 선물이라 찾고 싶네요 ㅜ... 이 루트 중에 잃어버렸슴니다..... 습득하신 분은 연락 주세효...,"운니동
·
분실/실종
·
2일 전",2일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
컴퓨터 잘 아시는분...,"갑자기 엑셀,파워포인트,워드가 전혀 열리지 않는데 혹시 원인 아시는분 계신가요? 제가 무슨 키번호 직접 입력하는걸로 몇년전에 구매해서 깐건데 아예 안열리는 이유를 아시는분 조언 구합니다","원서동
·
일반
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
공부하기 좋은 카페,대학로 근처에 공부하기 좋은 카페 있을까요?,"연건동
·
생활/편의
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
낙원상가에서 통기타 사실 분 계신가요~^^,낙원상가에서 통기타 사실 분 계신가요~^^ 광고 뭐 그런건 아니구요ㅎㅎ 저와 함께 동행하시면 저렴하게 사실 수 있어서 입문자분이나 중급자분들 혹시나 통기타 구매 고민이신 분들 제가 함께 동행하면서 저렴한 가격으로 구매하실 수 있도록 도와드리려고 합니다^^ (저는 평일 주말 상관없이 항상 낙원상가를 들립니다.) 제 직업은 입문반 통기타 레슨을 하고 있구요^^ 음악을 본업으로 하고 있습니다~ 낙원상가에서 뵙길 바래요^^,"낙원동
·
취미
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
갈이 벌써 갔다냥……,^^^^^^^^,"명륜2가
·
동네풍경
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
4",종로구
동묘시장,제가 서울 사람이 아니라 잘 몰라서요 ..... 네이버 블로그 검색 해보니 오늘 한다는 말도 쉰다는 말도 있더라구요 오늘 정상적으로 시장 문 열까요 ?? 아니면 월요일은 휴무 일까요 ???,"창신동
·
일반
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
4",종로구
종로3가 출장왁는데 저녁에,코노나 식사하실분?,"종로1.2.3.4가동
·
맛집
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
2","댓글 수
2",종로구
다같이 맛있는거 먹으러 가요🙋💕,다같이 맛있는거 먹으러 가요🙋💕 ⭕저희는 종로구를 중심으로 친목을 다지는 모임입니다. 환영해요~🤗 활동하실 의향이 있으시다면 댓글에 링크 첨부할게요~ 안녕하세요 😉 종로구에 사는 직장인 남자 입니다! 방을 운영한지도 5년이 되가고 있습니다 현 100명 가까이 동네 친구들이 있어요 동네 친구 만들기에 앞장서고 있고 클린하게 운영중입니다! 🫶🏻나이제한없고 성별제한없고 누구나 동네친구가 될 수 있어요 🫶🏻 혼자 밥먹기는 싫고 간단하게 한잔하고싶은데 친구들은 다 바쁘고 멀리떠나고 이럴때 함께 할 수 있는 동네 친구가 필요하시면 연락주세요 😉 서로에게 상처주지 않고 상처 받지않을 수 있도록 항상 예의를 지키고 선을 넘지 않는 동네친구들이 기다리고있답니다. (친목 목적입니다) 모임장이 음주가무를 좋아해서 모임은 맨날 있으니까 참여하고싶을때 참여하시면 되고 밥만먹고 가셔도 됩니다! 등산/피크닉/보드게임/반려견산책 벙등 있습니다! 긴 글 읽어주셔서 감사합니다! 따뜻하지#종로구 #동네친구 #술친구,"명륜1가
·
동네친구
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
"사직동, 신문로 근처 길냥이 돌보시거나 밥주시은 분 계실까요 ? ",이 쪽 근처에 밥주시거나 길냥이들 돌보시는 분들 계시면 댓글이나 채팅 부탁드려요!,"신문로2가
·
반려동물
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
랜선 단자가 고장난것 같은데요,랜선 단자가 고장난것 같은데요 (추측) 이런건 어디에다 방문 수리 신청해야하나요? KT에 하는게 맞나요? 직접 수리는 불가합니다,"숭인동
·
생활/편의
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
4",종로구
동대문역2번출구 마장동고깃집  소주맥주2000,고기맛도좋고 부담없이 먹을수있어 좋아요,"숭인제2동
·
맛집
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
서촌 필라테스,"안녕하세요, 서촌 쪽에 남자가 그룹 필라테스 다닐만한 곳 추천받을 수 있을까요? 이사오기 전 다른 곳에서 다니다 이제 다시 할까하는데 너무 팬시하지 않고 차분하게 운동하기 좋은 곳을 찾고있습니다.","옥인동
·
운동
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
3","댓글 수
0",종로구
혜화역 전시 보러오세요!!,안녕하세요. 상명대학교 문화예술경영전공 전시기획실습 팀 <INmotion> 입니다. 전시 〈 여운：餘韻〉 에서 자신의 감정을 새로운 시각으로 탐색하고 감정 속에 숨겨진 의미를 발견할 수 있는 감정 여행을 경험해보세요✈️ 전시명: 여운: 餘韻 전시기간: 2024. 11. 22 ~ 2024. 11. 24 (10시 ~ 18시) 전시장소: 상명대학교 예술디자인센터 내 갤러리 (서울특별시 종로구 동숭길 133) 주최: 상명대학교 문화예술경영전공 주관: 팀 인모션 @inmotion_smu,"동숭동
·
취미
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
3","댓글 수
0",종로구
저렴하고 친절한 영어 말하기 공부 어플 아시나요? 자존감 상하지 않게하는 어플이나 선생님을 알고 싶습니다,저렴하고 친절한 영어 말하기 공부 어플 아시나요? 자존감 상하지않게하는 선생님을 알고 싶습니다,"혜화동
·
교육
·
3일 전",3일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
독서하기 좋은 카페 추천부탁드려요.,이화동 근처 독서하기 좋은 카페 있을까요?,"이화동
·
생활/편의
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
무우도 말리고,낙산 이화마을 농장에 김장철이 다가오고 무우말랭이 무우청 시레기 파뿌리 말려라 말려~~,"명륜2가
·
동네풍경
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
목도리분실..,"11/21 목요일 아크네목도리 잃어버렸는데 보신분 있으실까요? ㅠ ㅠ선물받은거라 꼭 찾고 싶어요 ㅠ ㅠ 색상은 연보라이고, 분홍색 택이에요..","종로1.2.3.4가동
·
분실/실종
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
함께 해주세여!,"작은 축구대회를 진행하여 초대합니다!!! <작은 축구대회 초대장> 일시: 11/30(토) 8-13시 장소: 중앙고 운동장 대상: 종로구 거주 2023청년 및 소재 팀 운영방식: 4개팀(56명), 예선전 25분 단판(라운드 로빈) / 결승전 전후반 20분(중간휴식5분) 참가비: 개인-5천원 참가 신청 및 문의: 댓글 혹은 채팅 남겨주세요! (순수 아마O, 선출 참가는 꼭 문의주세요.) 수준 있는 대회는 아니지만 종로지역 내 소재 팀에 있는 2023청년들과 교류하는 자리를 만들고자 합니다. 팀 참여도 좋고 개별참여도 좋습니다. 이번엔 승부보다는 즐기고 화합하는 첫 대회를 만들고자합니다. 주최는 명륜FC이며, 종로지역 발전을 위해 후원받아 운영하는 대회입니다. 많은 관심과 참여 부탁 드려요! ※ 온 가족이 함께 즐길수 있는 따뜻한 먹거리도 준비되어 있습니다. 가족 참가는 무료입니다.","명륜1가
·
생활/편의
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
"전기통닭구이, 목살삼겹살~",혜화로터리에 지금 있구요 9시반에는 성대쪽 다이소로 가신데요~ 아주 담백허니 굿잡 맛납니당 어여 가십셔,"혜화동
·
맛집
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
2","댓글 수
0",종로구
갤럭시 S23울트라 찾고있습니다.,종각역에서 떨어진 투명케이스의 그라파이트색상 갤S23울트라를 찾고있습니다. 습득하신분 사례하겠습니다. 연락주세요.,"구기동
·
분실/실종
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
통인시장 근처 반려동물 키우시는 분들,"혹시 용품같은거나 간식,사료 급할 때 어디를 주로 이용하시나요? 작은 샵이라도 하나 동네에있으면 좋을 것 같은데ㅠ 온라인밖에 답이없어보이네요..! 동네에 병원말고 늦게까지하는 애견샵 아시는 곳 있을까요~?","누상동
·
생활/편의
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
3",종로구
고혼진 써본신분들 최저가 알 수 있을까요?,안녕하세요 어느덧 저도 40대를 바라보는 나이네요 손예진님 나오는 광고보고 고혼진 저도 한번 써볼까 해서 좀 알아보고 있어요 어느정도 가격대가 있을거라고는 생각했는데 그래도 좀 최저가로 구매해볼 수 있을까해서 써보신 분들 조언 좀 구합니다~,"동숭동
·
병원/약국
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
1",종로구
얼굴 주름에 좋은 화장품 뭐있을까요~,곧 50대 주부인데 환절기라 그런지 올해 유독 당기고 신경이 많이 쓰이네요 매번 피부과 가기도 그렇고요.. 괜찮은 화장품 있으면 말씀좀 해주세요~,"동숭동
·
병원/약국
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
종로에서 포켓몬고 하시는분 친구해요~~,"포켓몬고 친구 하다가,, 같이 레이드 하실분 ㅎㅎ","청운효자동
·
일반
·
4일 전",4일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
익선에서 팝업해요,고양이 동물 크리스마스 관련이 많네요 #고양이 #동물 #크리스마스 #소품샵 #구경거리,"익선동
·
동네풍경
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
1","댓글 수
0",종로구
보스 이어폰 보관통 분실,bose인데 안에 이어폰은 들어있지 않고 이어폰집 두고 내렸어요….. 사례하겠습니당 ㆍ ㅠ,"내자동
·
분실/실종
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
6시 되면 울리는 종,"혜화 명륜4가 사는데용~! 6시만 되면 종소리가 여러번 울리는데,인근교회나 성당에서 울려주시는건가요? 이사온지 조금밖에 안지나서 잘몰라요ㅜ^ㅠ 종소리가 나름 듣기좋아서 싫은건 아니고 어디서 나는지 궁금해서 물어봐용","명륜4가
·
일반
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
11/23 토 14:00 드립소년단 같이 보실 분…,"웬만한 공연 다 혼자 잘 보는데 이건 좀…… 보고는 싶은데… 극 내향적인 성인 혼자 볼 공연이 아닌 것 같아서^^… 초딩감성 공연에 함께 동행해주실 분 혹시 계실까해서 찾아봅니다… 무비프리 문화지원금 5,000원 있어야 해요 제가 여자라 여성분으로만 구합니다 드립소년단 정보 https://booking.naver.com/booking/12/bizes/661611","동숭동
·
취미
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
0",종로구
지갑 찾아요,익선동이랑 인사동 근처에서 잃어버렸는데 혹시 보신분 연락 꼭 부탁드릴게요 사례금도 드리겠습니다..,"종로1.2.3.4가동
·
분실/실종
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
2","댓글 수
1",종로구
강아지 주인 찾습니다,연동교회 인근에서 떠돌아다니는 개 발견했습니다. 목줄도 있던데 주인분 데려가시기 바랍니다.,"종로5.6가동
·
분실/실종
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
2",종로구
흰양말 검은 고양이,혹시나 해서 올려봅니다. 서울 역사 박물관 근처에서 목격했는데 경계심이 없고 아이가 깨끗하네요. 찾고 계신 집사님이 있으실까해서 올려봅니다. 코에 까만 점이 있어요.,"사직동
·
반려동물
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
2","댓글 수
2",종로구
강아지 산책 좀 같이 해주세요ㅜㅜ,"이눔이 밖에 통 나가지를 않아요 아오...ㅜㅠ 말티즈이고, 몸집이 상당히 작고, 수컷입니다. 귀여워요ㅠㅠ 어디 산책갈 곳 있나요ㅜㅠ? 챗 주세요!","창신제3동
·
반려동물
·
5일 전",5일 전,2024-11-28 00:35:39,"좋아요 수
0","댓글 수
1",종로구
